"category","buys_per_item","avg(rating)","avg(actual_price)","avg(discounted_price)"
"headphones",73403.9091,3.9257575757575753,2819.2424,948.1212
"musicalInstrument",44441.0,3.9,1347.0,638.0
"OtherElectronics",41864.8585,4.151886792452829,13740.2547,10422.934
"computers&accessories",36794.6111,4.188888888888892,4667.0139,2729.4444
"smartwatches",21637.8421,4.025,8554.7632,2339.6974
"cameras&photography",20166.0625,4.124999999999999,2594.1875,1272.0
"HomeAppliances",16104.614,4.062280701754387,13484.8246,7994.8772
"mobileaccessories",15960.3452,4.173809523809526,1794.2976,735.5119
"toys&games",15867.0,4.3,150.0,150.0
"peripherals",13402.314,4.149340369393134,1120.4723,487.4749
"craftMaterials",9030.5714,4.3428571428571425,194.1429,178.5714
"smallkitchenappliances",7735.8398,4.056353591160222,3200.7956,1866.0608
"officeproducts",6272.6,4.42,583.8,578.2
"vacuum,cleaning",5862.4198,4.076543209876545,4279.3827,2527.5062
"heating&cooling",4753.1983,3.990517241379311,5908.9828,3222.3276
"Stationery",4550.4615,4.288461538461538,361.3077,248.3846
"BevrageMachines",1969.2667,4.006666666666667,1355.4667,928.8
"car&motorbike",1118.0,3.8,4000.0,2339.0
